,links,names,ratings,price for two,cuisine,Location
0,https://www.zomato.com/bangalore/jamming-goat-3-0-indiranagar-bangalore/info,Jamming Goat 3.0,4.4,"₹1,500 for two","South Indian, Asian, Thai",Indiranagar
1,https://www.zomato.com/bangalore/hydra-club-kitchen-koramangala-5th-block-bangalore/info,Hydra Club & Kitchen,New,"₹1,200 for two",Continental,Koramangala 5th Block
2,https://www.zomato.com/bangalore/scottish-pub-st-marks-road/info,Scottish Pub,4.3,₹700 for two,Finger Food,St. Marks Road
3,https://www.zomato.com/bangalore/raahi-st-marks-road-bangalore/info,Raahi,4.2,"₹2,000 for two","North Indian, Pasta, Pizza, Desserts, Beverages",St. Marks Road
4,https://www.zomato.com/bangalore/oney-brewhouse-cunningham-road-bangalore/info,Oney Brewhouse,New,"₹1,500 for two","American, Continental, Italian, South Indian, North Indian, Asian, Chinese",Cunningham Road
5,https://www.zomato.com/bangalore/bombay-borough-richmond-road-bangalore/info,Bombay Borough,4.5,"₹2,000 for two","North Indian, Biryani, South Indian, Desserts, Tea, Beverages",Richmond Road
6,https://www.zomato.com/bangalore/over-coffee-cafe-wine-bar-lavelle-road-bangalore/info,Over Coffee Cafe & Wine Bar,4.9,"₹1,200 for two","European, Italian, Continental, Cafe, Coffee",Lavelle Road
7,https://www.zomato.com/bangalore/the-bier-library-koramangala-6th-block-bangalore/info,The Bier Library,4.5,"₹1,800 for two","North Indian, Pizza, European, American, Bar Food, Oriental, Desserts, BBQ",Koramangala 6th Block
8,https://www.zomato.com/bangalore/tandoor-a-heritage-indian-restaurant-bar-mg-road-bangalore/info,Tandoor | A Heritage Indian Restaurant & Bar,3.7,"₹1,700 for two","North Indian, Mughlai, Kebab, Kashmiri, Seafood, Biryani, Grilled Chicken, Bar Food",MG Road
9,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/info,ShakesBierre,4.4,"₹1,800 for two","Finger Food, North Indian, Continental, Italian, Desserts, Beverages","Eva Mall, Brigade Road"
10,https://www.zomato.com/bangalore/no-limmits-lounge-and-club-brigade-road-bangalore/info,No Limmits Lounge And Club,3.8,"₹2,500 for two","Chinese, Continental, North Indian, Fast Food, Pizza, Beverages",Brigade Road
11,https://www.zomato.com/bangalore/long-boat-brewing-co-marathahalli-bangalore/info,Long Boat Brewing Co.,4.2,"₹2,600 for two","Asian, Chinese, North Indian, Pizza, South Indian, Continental",Marathahalli
12,https://www.zomato.com/bangalore/secret-story-indiranagar-bangalore/info,Secret Story,4.0,"₹1,500 for two","Continental, Asian, North Indian, Fast Food, Desserts, Beverages",Indiranagar
13,https://www.zomato.com/bangalore/oia-3-hennur-bangalore/info,Oia,4.1,"₹2,500 for two","Continental, Asian, Seafood, Salad, Pizza, North Indian, Desserts",Hennur
14,https://www.zomato.com/bangalore/street-storyss-indiranagar-bangalore/info,Street Storyss,4.6,"₹2,500 for two","North Indian, Chinese, Street Food, Desserts, Beverages",Indiranagar
15,https://www.zomato.com/bangalore/ironhill-bengaluru-marathahalli-bangalore/info,Ironhill Bengaluru,4.5,"₹2,000 for two","North Indian, Continental, Asian, Pizza, Fast Food, Biryani, Beverages, Desserts",Marathahalli
