,Unnamed: 0,links,names,ratings,price for two,cuisine,Location,area,area_list,cuisine_list
0,0,https://www.zomato.com/bangalore/jamming-goat-3-0-indiranagar-bangalore/info,Jamming Goat 3.0,4.4,"₹1,500 for two",south indian asian thai,Indiranagar,indiranagar,Indiranagar,"South Indian, Asian, Thai"
1,1,https://www.zomato.com/bangalore/hydra-club-kitchen-koramangala-5th-block-bangalore/info,Hydra Club & Kitchen,New,"₹1,200 for two",continental,Koramangala 5th Block,koramangala,Koramangala,Continental
2,2,https://www.zomato.com/bangalore/scottish-pub-st-marks-road/info,Scottish Pub,4.3,₹700 for two,finger food,St. Marks Road,st.marksroad,St. Marks Road,Finger Food
3,3,https://www.zomato.com/bangalore/raahi-st-marks-road-bangalore/info,Raahi,4.2,"₹2,000 for two",north indian pasta pizza desserts beverages,St. Marks Road,st.marksroad,St. Marks Road,"North Indian, Pasta, Pizza, Desserts, Beverages"
4,4,https://www.zomato.com/bangalore/oney-brewhouse-cunningham-road-bangalore/info,Oney Brewhouse,New,"₹1,500 for two",american continental italian south indian north indian asian chinese,Cunningham Road,cunninghamroad,Cunningham Road,"American, Continental, Italian, South Indian, North Indian, Asian, Chinese"
5,5,https://www.zomato.com/bangalore/bombay-borough-richmond-road-bangalore/info,Bombay Borough,4.5,"₹2,000 for two",north indian biryani south indian desserts tea beverages,Richmond Road,richmondroad,Richmond Road,"North Indian, Biryani, South Indian, Desserts, Tea, Beverages"
6,6,https://www.zomato.com/bangalore/over-coffee-cafe-wine-bar-lavelle-road-bangalore/info,Over Coffee Cafe & Wine Bar,4.9,"₹1,200 for two",european italian continental cafe coffee,Lavelle Road,lavelleroad,Lavelle Road,"European, Italian, Continental, Cafe, Coffee"
7,7,https://www.zomato.com/bangalore/the-bier-library-koramangala-6th-block-bangalore/info,The Bier Library,4.5,"₹1,800 for two",north indian pizza european american bar food oriental desserts bbq,Koramangala 6th Block,koramangala,Koramangala,"North Indian, Pizza, European, American, Bar Food, Oriental, Desserts, BBQ"
8,8,https://www.zomato.com/bangalore/tandoor-a-heritage-indian-restaurant-bar-mg-road-bangalore/info,Tandoor | A Heritage Indian Restaurant & Bar,3.7,"₹1,700 for two",north indian mughlai kebab kashmiri seafood biryani grilled chicken bar food,MG Road,mgroad,MG Road,"North Indian, Mughlai, Kebab, Kashmiri, Seafood, Biryani, Grilled Chicken, Bar Food"
9,9,https://www.zomato.com/bangalore/shakesbierre-1-brigade-road-bangalore/info,ShakesBierre,4.4,"₹1,800 for two",finger food north indian continental italian desserts beverages,"Eva Mall, Brigade Road",brigaderoad,Brigade Road,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages"
10,10,https://www.zomato.com/bangalore/no-limmits-lounge-and-club-brigade-road-bangalore/info,No Limmits Lounge And Club,3.8,"₹2,500 for two",chinese continental north indian fast food pizza beverages,Brigade Road,brigaderoad,Brigade Road,"Chinese, Continental, North Indian, Fast Food, Pizza, Beverages"
11,11,https://www.zomato.com/bangalore/long-boat-brewing-co-marathahalli-bangalore/info,Long Boat Brewing Co.,4.2,"₹2,600 for two",asian chinese north indian pizza south indian continental,Marathahalli,marathahalli,Marathahalli,"Asian, Chinese, North Indian, Pizza, South Indian, Continental"
12,12,https://www.zomato.com/bangalore/secret-story-indiranagar-bangalore/info,Secret Story,4.0,"₹1,500 for two",continental asian north indian fast food desserts beverages,Indiranagar,indiranagar,Indiranagar,"Continental, Asian, North Indian, Fast Food, Desserts, Beverages"
13,13,https://www.zomato.com/bangalore/oia-3-hennur-bangalore/info,Oia,4.1,"₹2,500 for two",continental asian seafood salad pizza north indian desserts,Hennur,hennur,Hennur,"Continental, Asian, Seafood, Salad, Pizza, North Indian, Desserts"
14,14,https://www.zomato.com/bangalore/street-storyss-indiranagar-bangalore/info,Street Storyss,4.6,"₹2,500 for two",north indian chinese street food desserts beverages,Indiranagar,indiranagar,Indiranagar,"North Indian, Chinese, Street Food, Desserts, Beverages"
15,15,https://www.zomato.com/bangalore/ironhill-bengaluru-marathahalli-bangalore/info,Ironhill Bengaluru,4.5,"₹2,000 for two",north indian continental asian pizza fast food biryani beverages desserts,Marathahalli,marathahalli,Marathahalli,"North Indian, Continental, Asian, Pizza, Fast Food, Biryani, Beverages, Desserts"
16,16,https://www.zomato.com/bangalore/bramble-jayanagar-bangalore/info,Bramble,4.5,"₹1,800 for two",continental asian north indian italian bar food beverages,Jayanagar,jayanagar,Jayanagar,"Continental, Asian, North Indian, Italian, Bar Food, Beverages"
17,17,https://www.zomato.com/bangalore/roxie-sarjapur-road-bangalore/info,Roxie,4.6,"₹2,600 for two",continental asian north indian european american italian pizza beverages,Sarjapur Road,sarjapur,Sarjapur,"Continental, Asian, North Indian, European, American, Italian, Pizza, Beverages"
18,18,https://www.zomato.com/bangalore/magique-koramangala-6th-block-bangalore/info,Magique,3.8,"₹1,700 for two",asian modern indian continental italian north indian sushi desserts beverages,Koramangala 6th Block,koramangala,Koramangala,"Asian, Modern Indian, Continental, Italian, North Indian, Sushi, Desserts, Beverages"
19,20,https://www.zomato.com/bangalore/koko-airport-road-bangalore/info,KOKO,4.4,"₹3,500 for two",asian sushi desserts chinese beverages,Old Airport Road,oldairportroad,Old Airport Road,"Asian, Sushi, Desserts, Chinese, Beverages"
20,21,https://www.zomato.com/bangalore/phurr-jayanagar-bangalore/info,Phurr,4.2,"₹2,000 for two",north indian continental,Jayanagar,jayanagar,Jayanagar,"North Indian, Continental"
21,22,https://www.zomato.com/bangalore/maffei-kitchen-1-koramangala-5th-block-bangalore/info,Maffei Kitchen,4.7,"₹1,700 for two",lebanese greek moroccan desserts beverages,Koramangala 5th Block,koramangala,Koramangala,"Lebanese, Greek, Moroccan, Desserts, Beverages"
22,23,https://www.zomato.com/bangalore/uru-brewpark-jp-nagar-bangalore/info,Uru Brewpark,4.3,"₹2,200 for two",continental north indian italian chinese asian pizza lebanese beverages,JP Nagar,jpnagar,JP Nagar,"Continental, North Indian, Italian, Chinese, Asian, Pizza, Lebanese, Beverages"
23,24,https://www.zomato.com/bangalore/ambedo-kitchen-taproom-jp-nagar-bangalore/info,Ambedo Kitchen|Taproom,4.5,"₹1,500 for two",continental asian north indian italian pizza sushi,JP Nagar,jpnagar,JP Nagar,"Continental, Asian, North Indian, Italian, Pizza, Sushi"
24,25,https://www.zomato.com/bangalore/nusa-varthur-main-road-whitefield-bangalore/info,Nusa,3.8,"₹1,500 for two",north indian asian continental european south indian indonesian bar food finger food,"Varthur Main Road, Whitefield",whitefield,Whitefield,"North Indian, Asian, Continental, European, South Indian, Indonesian, Bar Food, Finger Food"
25,26,https://www.zomato.com/bangalore/mayuri-1-jp-nagar-bangalore/info,Mayuri,4.5,"₹1,200 for two",andhra biryani north indian chinese desserts,JP Nagar,jpnagar,JP Nagar,"Andhra, Biryani, North Indian, Chinese, Desserts"
26,27,https://www.zomato.com/bangalore/blr-brewing-co-1-whitefield-bangalore/info,BLR Brewing Co,New,"₹1,500 for two",north indian continental chinese italian bbq bar food desserts,Whitefield,whitefield,Whitefield,"North Indian, Continental, Chinese, Italian, BBQ, Bar Food, Desserts"
27,28,https://www.zomato.com/bangalore/2-moons-mg-road-bangalore/info,2 MOONS,4.3,"₹2,100 for two",modern indian continental asian,"1 MG Road Mall, MG Road",mgroad,MG Road,"Modern Indian, Continental, Asian"
28,29,https://www.zomato.com/bangalore/mykos-craft-kitchen-bar-bannerghatta-road-bangalore/info,Mykos Craft Kitchen & Bar,4.3,"₹1,600 for two",continental greek asian mediterranean north indian,Bannerghatta Road,bannerghatta,Bannerghatta,"Continental, Greek, Asian, Mediterranean, North Indian"
29,30,https://www.zomato.com/bangalore/skydeck-by-sherlocks-mg-road-bangalore/info,SkyDeck By Sherlock's,4.0,"₹1,800 for two",continental chinese finger food north indian fast food beverages desserts,MG Road,mgroad,MG Road,"Continental, Chinese, Finger Food, North Indian, Fast Food, Beverages, Desserts"
30,31,https://www.zomato.com/bangalore/one8-commune-lavelle-road-bangalore/info,One8 Commune,3.9,"₹3,000 for two",north indian chinese pasta sushi continental desserts beverages,Lavelle Road,lavelleroad,Lavelle Road,"North Indian, Chinese, Pasta, Sushi, Continental, Desserts, Beverages"
31,32,https://www.zomato.com/bangalore/miso-sexy-indiranagar-bangalore/info,Miso Sexy,4.4,"₹1,800 for two",japanese chinese sushi beverages,Indiranagar,indiranagar,Indiranagar,"Japanese, Chinese, Sushi, Beverages"
32,33,https://www.zomato.com/bangalore/sky-garden-whitefield-bangalore/info,Sky Garden,4.1,"₹2,000 for two",continental north indian pizza asian pasta chinese desserts beverages,Whitefield,whitefield,Whitefield,"Continental, North Indian, Pizza, Asian, Pasta, Chinese, Desserts, Beverages"
33,35,https://www.zomato.com/bangalore/macaw-by-stories-bommanahalli-bangalore/info,Macaw By Stories,4.2,"₹1,000 for two",south indian north indian chinese pasta pizza fast food salad desserts,Bommanahalli,hosurroad,Hosur Road,"South Indian, North Indian, Chinese, Pasta, Pizza, Fast Food, Salad, Desserts"
34,37,https://www.zomato.com/bangalore/stories-brewery-kitchen-btm-bangalore/info,Stories Brewery & Kitchen,4.4,"₹1,800 for two",north indian continental chinese finger food beverages desserts,BTM,btm,BTM,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts"
35,39,https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road/info,Hard Rock Cafe,4.8,"₹2,500 for two",american continental burger sandwich fast food desserts beverages,St. Marks Road,st.marksroad,St. Marks Road,"American, Continental, Burger, Sandwich, Fast Food, Desserts, Beverages"
36,41,https://www.zomato.com/bangalore/float-brewery-kalyan-nagar-bangalore/info,Float Brewery,4.5,"₹1,500 for two",bar food continental italian asian north indian desserts pizza beverages,Kalyan Nagar,kalyannagar,Kalyan Nagar,"Bar Food, Continental, Italian, Asian, North Indian, Desserts, Pizza, Beverages"
37,43,https://www.zomato.com/SarjapurSocial/info,Sarjapur SOCIAL,4.4,"₹1,000 for two",north indian chinese biryani pasta burger pizza desserts beverages,Sarjapur Road,sarjapur,Sarjapur,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Desserts, Beverages"
38,44,https://www.zomato.com/bangalore/foo-brigade-road-brigade-road-bangalore/info,Foo Brigade Road,4.6,"₹2,000 for two",chinese sushi asian japanese desserts,Forum Rex Walk,ashoknagar,Ashok Nagar,"Chinese, Sushi, Asian, Japanese, Desserts"
39,45,https://www.zomato.com/bangalore/red-rhino-whitefield-bangalore/info,Red Rhino,4.4,"₹2,000 for two",continental north indian asian oriental mediterranean mangalorean beverages desserts,Whitefield,whitefield,Whitefield,"Continental, North Indian, Asian, Oriental, Mediterranean, Mangalorean, Beverages, Desserts"
40,46,https://www.zomato.com/bangalore/muro-church-street-bangalore/info,Muro,4.1,"₹3,000 for two",thai cantonese,Church Street,churchstreet,Church Street,"Thai, Cantonese"
41,47,https://www.zomato.com/bangalore/butterfly-brew-bite-fly-jp-nagar-bangalore/info,Butterfly Brew Bite & Fly,4.2,"₹1,500 for two",north indian continental pizza italian asian desserts beverages,JP Nagar,jpnagar,JP Nagar,"North Indian, Continental, Pizza, Italian, Asian, Desserts, Beverages"
42,48,https://www.zomato.com/bangalore/board-4-bored-basavanagudi-bangalore/info,Board 4 Bored,4.1,"₹1,000 for two",chinese sandwich continental italian beverages pizza pasta,Basavanagudi,basavanagudi,Basavanagudi,"Chinese, Sandwich, Continental, Italian, Beverages, Pizza, Pasta"
43,49,https://www.zomato.com/bangalore/taproom-by-sherlocks-jp-nagar-bangalore/info,Taproom By Sherlock's,4.3,"₹1,800 for two",north indian oriental continental biryani pizza pasta desserts beverages,JP Nagar,jpnagar,JP Nagar,"North Indian, Oriental, Continental, Biryani, Pizza, Pasta, Desserts, Beverages"
44,50,https://www.zomato.com/bangalore/feast-sheraton-grand-bangalore-hotel-at-brigade-gateway-malleshwaram-bangalore/info,Feast - Sheraton Grand Bangalore Hotel at Brigade Gateway,4.2,"₹3,500 for two",north indian continental fast food asian beverages,Sheraton Grand Bangalore Hotel at Brigade Gateway,malleshwaram,Malleshwaram,"North Indian, Continental, Fast Food, Asian, Beverages"
